This is the data set after cleaning noises. This was used for the corresponding data analyses.


Timestamp,Consent,Age,Gender,Location,Educational Level,Domain,AI Usage Frequency,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,T1,T2,T3,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Motive,Trust,Vigilance,Well-being
17-03-2026 23:52,I agree to participate,20,Woman,West Bengal,Undergraduate,Social Sciences,Often,2.0,1.0,2.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,5.0,3.0,47.0,10.0,18.0,37.0
17-03-2026 23:52,I agree to participate,20,Man,West Bengal,Undergraduate,Engineering & Technology,Sometimes,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,40.0,6.0,24.0,24.0
17-03-2026 23:55,I agree to participate,21,Man,West Bengal,Undergraduate,Business & Commerce,Occasionally,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,43.0,4.0,28.0,21.0
17-03-2026 23:56,I agree to participate,23,Woman,Maharashtra,Undergraduate,Other,Always,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,3.0,59.0,12.0,37.0,52.0
17-03-2026 23:59,I agree to participate,20,Woman,West Bengal,Undergraduate,Other,Sometimes,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,64.0,12.0,37.0,28.0
18-03-2026 00:00,I agree to participate,20,Man,West Bengal,Undergraduate,Business & Commerce,Often,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,63.0,13.0,30.0,41.0
18-03-2026 00:01,I agree to participate,21,Woman,West Bengal,Undergraduate,Engineering & Technology,Sometimes,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,6.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,92.0,15.0,41.0,50.0
18-03-2026 00:43,I agree to participate,23,Man,Karnataka,Postgraduate,Humanities,Sometimes,5.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,1.0,5.0,58.0,9.0,25.0,41.0
18-03-2026 01:09,I agree to participate,20,Woman,West Bengal,Undergraduate,Social Sciences,Often,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,69.0,11.0,21.0,40.0
18-03-2026 01:21,I agree to participate,21,Woman,West Bengal,Postgraduate,Social Sciences,Often,3.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,68.0,12.0,26.0,38.0
